,RF base,RF bda,SVR base,SVR bda,XGB base,XGB bda,NN base,NN bda
NRMSE,0.156857180874735,0.1363154722527585,0.2136014889023186,0.1538804469478412,0.1403251468315959,0.1333805300684196,0.1782837951234795,0.1427896183175052
SMAPE,0.4590088728543415,0.3243297373779031,0.5555407581011105,0.3787657988606182,0.3725619962786709,0.320073604374264,0.4147241621663651,0.3020388372576372
NMAE,0.1225740781024105,0.0996878791170453,0.1751910574495634,0.1221093552679308,0.0952602179380233,0.0983872365687317,0.1425374363933381,0.1094143969581421
