,RF base,RF bda,SVR base,SVR bda,XGB base,XGB bda,NN base,NN bda
NRMSE,0.1589352026577536,0.1472270749945751,0.2225279369137384,0.1633445037398117,0.139312859983376,0.1521110431630138,0.1834405798209657,0.1476267550319689
SMAPE,0.4603199495054004,0.3355767356768709,0.5591129191675634,0.3711417725336551,0.3815510884249951,0.3534321935868457,0.4238656612643889,0.304338117291436
NMAE,0.1230749751487591,0.1085276870184018,0.1779284109148282,0.127005151948359,0.0938571614785284,0.1120274448809544,0.1480093058690537,0.1141413474895547
