Report Date,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,Total
Thu 14 Jan 2021,0,2,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,3,13,10,5,3,4,1,5,2,1,3,2,3,3,11,5,2,3,6,5,14,5,10,5,15,9,8,8,4,9,6,6,5,3,4,8,11,17,10,12,6,8,5,3,7,5,7,5,3,0,2,1,3,2,4,0,2,3,1,2,4,4,2,0,5,1,1,2,1,0,0,2,1,0,362
Fri 15 Jan 2021,0,0,0,3,0,0,0,0,1,1,0,0,2,1,1,3,0,3,2,1,1,0,5,10,15,5,2,4,2,3,2,1,4,4,4,7,4,5,2,12,3,4,11,6,4,8,8,11,5,10,7,9,6,6,4,6,4,4,9,8,17,19,6,4,9,7,3,5,5,3,4,4,1,3,1,4,5,0,4,2,2,2,0,6,3,0,5,0,0,0,3,0,0,1,0,1,372
Sat 16 Jan 2021,2,1,3,2,0,2,2,5,1,1,4,0,0,3,1,1,0,0,0,1,2,1,3,7,6,3,1,3,2,2,3,1,0,7,0,2,0,4,4,4,1,4,4,0,3,3,3,1,2,8,11,3,4,5,1,5,4,2,2,3,1,2,1,1,2,3,1,1,3,1,0,0,1,2,2,0,2,0,2,1,0,2,3,0,1,1,2,0,0,1,0,0,2,0,1,1,193
Sun 17 Jan 2021,0,2,0,1,1,1,3,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,1,0,3,4,1,3,1,0,0,0,1,1,2,0,2,1,0,6,4,0,,,,,,,,,,,,,0,4,2,1,0,1,2,1,1,1,1,3,3,0,1,3,2,3,6,1,1,1,0,0,0,3,0,1,1,2,0,1,3,1,0,2,2,1,0,0,99
Mon 18 Jan 2021,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,2,4,10,11,3,3,2,1,3,3,5,4,4,3,5,2,0,6,7,5,7,8,7,5,6,11,14,3,9,10,3,8,5,13,9,4,1,9,6,5,12,4,4,5,10,2,3,5,2,3,8,3,0,1,4,4,2,0,3,4,0,1,1,1,2,1,3,1,2,1,0,1,1,0,0,328
Tue 19 Jan 2021,0,0,0,1,0,1,1,0,1,0,0,1,2,0,0,2,0,0,1,0,0,1,2,8,15,3,2,0,3,2,3,3,4,3,2,7,9,4,1,4,6,4,8,5,11,7,13,8,6,11,9,5,11,4,4,6,6,4,9,17,14,8,4,6,7,2,2,1,4,3,2,4,6,4,5,2,3,2,5,3,2,2,0,2,0,5,0,0,1,1,1,0,1,1,0,0,343
Wed 20 Jan 2021,0,0,2,1,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,6,6,14,4,3,3,3,3,1,5,4,3,8,5,5,6,9,6,2,5,6,7,8,3,11,12,9,8,13,7,8,2,10,2,6,10,7,15,14,8,5,3,10,3,7,3,5,0,2,1,3,3,3,4,0,5,2,0,7,3,0,1,2,6,0,1,1,0,1,1,1,2,2,0,364
Thu 21 Jan 2021,0,2,0,2,1,0,1,0,3,1,0,0,0,0,2,0,0,1,0,0,1,1,5,7,12,5,5,1,2,1,7,1,2,9,5,1,2,6,4,3,4,10,6,8,5,10,7,6,6,6,7,7,7,5,8,10,6,4,11,7,12,8,1,4,7,6,6,6,1,6,1,2,1,2,5,9,2,1,4,0,1,2,5,3,1,8,0,1,0,0,0,3,1,1,1,1,345
Fri 22 Jan 2021,1,1,1,0,0,2,0,0,0,1,1,0,1,0,2,0,1,4,3,1,0,2,4,11,8,8,2,2,2,5,6,1,4,7,5,5,4,10,8,10,8,3,10,9,7,5,14,7,10,8,10,6,5,6,5,2,13,8,7,7,11,14,6,4,6,4,6,5,3,4,0,2,3,5,3,2,5,4,3,4,2,2,1,2,3,3,2,0,0,1,2,1,0,0,3,3,392
Sat 23 Jan 2021,0,0,0,0,2,2,0,0,0,1,0,1,0,0,1,3,1,2,1,1,0,1,4,8,5,3,1,0,6,1,1,1,3,2,1,1,1,2,3,3,2,0,9,2,6,7,2,2,3,4,4,3,4,6,3,2,2,4,5,5,1,5,3,3,8,2,3,1,3,1,3,0,1,1,2,1,3,2,3,0,1,1,3,1,1,0,0,1,1,1,0,3,0,0,0,2,198
Sun 24 Jan 2021,0,1,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,4,4,0,1,0,1,0,2,2,1,2,3,2,1,2,4,1,4,0,5,3,3,5,4,4,3,1,3,4,6,2,1,6,3,1,1,2,2,4,0,2,2,0,1,4,0,0,0,1,1,1,2,0,0,2,2,0,2,4,0,3,0,1,0,1,0,0,0,0,141
Mon 25 Jan 2021,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,3,1,1,0,5,10,15,5,2,4,2,2,3,6,2,6,3,7,5,4,1,1,8,9,7,7,5,10,11,6,3,9,8,3,6,5,11,10,3,9,4,8,12,9,9,9,5,3,9,7,3,5,5,3,7,0,3,2,2,4,3,3,1,3,1,3,3,4,2,1,2,3,1,1,0,1,1,0,368
Tue 26 Jan 2021,1,1,0,0,1,0,0,2,0,1,0,0,0,1,2,2,1,2,1,1,1,1,10,7,12,3,4,4,3,2,5,7,3,3,3,2,4,3,4,6,10,2,4,4,11,7,5,6,6,10,6,15,12,2,8,2,5,9,12,6,18,11,6,8,5,6,7,6,3,3,3,2,3,1,1,2,3,1,2,2,4,1,2,2,5,1,3,0,0,0,1,2,0,0,0,2,361
Wed 27 Jan 2021,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,3,2,1,0,1,8,6,8,4,4,3,2,3,3,3,4,6,3,4,5,3,3,6,11,4,4,5,8,9,9,17,12,8,8,6,10,8,11,2,7,5,10,10,5,6,6,5,8,6,6,7,4,1,4,3,3,5,5,1,3,1,1,8,4,6,6,2,3,3,3,1,0,0,2,1,0,2,0,0,377
Thu 28 Jan 2021,0,0,0,2,1,2,0,2,2,0,0,2,0,1,0,3,0,1,0,1,0,1,11,9,6,7,3,3,3,2,2,4,5,4,5,1,2,13,7,6,8,5,6,9,10,7,10,9,5,6,14,4,10,8,5,9,10,9,6,12,11,7,7,10,3,7,6,3,10,5,2,1,1,5,2,6,0,6,1,1,2,2,2,5,0,2,4,1,0,0,2,0,0,2,0,0,389
Fri 29 Jan 2021,0,1,0,1,0,0,1,0,0,0,0,0,1,1,2,3,1,1,0,1,0,1,7,9,12,8,6,2,3,3,2,5,2,2,3,3,5,3,5,12,4,8,12,11,10,8,10,6,7,9,10,9,12,6,5,10,7,6,6,9,10,7,7,3,1,4,7,3,9,6,1,4,3,0,2,0,1,5,3,4,2,2,4,1,1,1,3,2,2,2,0,1,0,1,1,1,375
Sat 30 Jan 2021,1,0,0,0,0,0,1,2,1,2,2,1,1,1,0,3,1,1,0,0,0,4,5,9,5,5,5,3,3,5,2,2,0,2,1,3,2,2,4,3,2,7,3,2,0,3,4,7,3,6,7,6,3,5,8,2,4,4,5,1,2,3,3,1,2,3,1,0,1,1,2,1,2,2,3,0,0,1,1,0,1,2,2,2,0,2,2,1,0,0,1,0,0,0,0,1,207
Sun 31 Jan 2021,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,0,1,0,0,2,1,3,3,1,1,0,0,0,2,1,4,4,0,2,1,3,1,1,3,2,0,2,2,2,6,5,2,4,2,3,1,0,2,2,0,3,3,2,1,2,1,0,1,3,0,0,0,4,2,2,2,2,1,3,1,2,1,0,0,0,0,0,2,0,0,2,0,1,1,0,122
Mon 01 Feb 2021,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,7,7,11,8,4,4,3,5,1,3,2,3,3,6,5,2,1,4,7,9,4,10,9,10,11,10,5,5,13,8,7,7,7,2,5,5,14,12,20,11,7,8,4,4,4,4,5,5,6,1,1,1,2,2,1,1,5,3,3,1,4,3,0,2,2,2,3,0,1,3,0,1,1,0,368
