,nrmse,mape,smape,mae
0,0.14689072133514403,0.49695113,0.34098154,0.11360576
1,0.14181364622769818,0.4776343,0.33466673,0.106284484
2,0.14744556578401416,0.6016774,0.36349714,0.11814671
3,0.14112803869072285,0.43390176,0.3154388,0.10493808
4,0.1477183552734984,0.4490124,0.32787687,0.11329596
5,0.14507042930602732,0.44714347,0.31732056,0.11040353
6,0.13959268026359295,0.43590865,0.32564256,0.105957836
7,0.15233642936821062,0.7878418,0.40895078,0.1268482
8,0.1412224599418778,0.47621542,0.33171862,0.108206496
9,0.14118638863156105,0.43591046,0.32015857,0.105741076
10,0.14091198374803454,0.4510683,0.3192563,0.107067026
11,0.1464689919988032,0.52157205,0.34570554,0.11556141
12,0.15656609585562462,0.7267161,0.4085411,0.12888578
13,0.1413399380697068,0.44295344,0.32035565,0.10516322
14,0.14530122478872248,0.4779174,0.32969347,0.10933504
15,0.13922328941316578,0.41528612,0.31250045,0.10458191
16,0.14895593764511886,0.5397272,0.360088,0.11815154
17,0.13017241102308663,0.4013569,0.3027212,0.09608124
18,0.14307415330345483,0.434353,0.31997702,0.10713796
19,0.1364807391844076,0.43515587,0.32634157,0.10374462
20,0.14407439133361108,0.46278134,0.3276777,0.10989536
21,0.14614896246265036,0.52731544,0.3478499,0.113876455
22,0.14400590914227918,0.40908408,0.32115632,0.10651685
23,0.14563753859976963,0.5550168,0.3531815,0.11344737
24,0.1434386917635702,0.63984466,0.36708185,0.11267984
25,0.14258112669739853,0.46187502,0.31826133,0.10832431
26,0.1443512550279503,0.45064002,0.33464655,0.11005179
27,0.1397818658946837,0.4234274,0.3250816,0.10414691
28,0.14783222944920194,0.4611681,0.3323047,0.11340616
29,0.14310337385074667,0.47151056,0.32429978,0.10670077
30,0.15675219934496942,0.82267994,0.41965932,0.13103619
31,0.1352134774055059,0.37290382,0.3108092,0.10030051
32,0.14522656686683438,0.49902847,0.34262663,0.10901979
33,0.1407063381559576,0.46412838,0.32429397,0.10440248
34,0.14883723618103356,0.5333357,0.35310346,0.116858415
35,0.1351965274916165,0.4262617,0.3166631,0.10163994
36,0.14438805157457685,0.4848071,0.33527687,0.1077115
37,0.1486590413264098,0.5760208,0.36602524,0.11747427
38,0.14452725214648077,0.49774337,0.33194014,0.109889045
39,0.14696361865146298,0.48853484,0.33478114,0.11157869
40,0.1535169706377258,0.68777174,0.39552018,0.12511785
41,0.1362865898810991,0.38750973,0.30950382,0.10263516
42,0.13859568671753691,0.46121475,0.31903115,0.104192324
43,0.1507063111941898,0.53382117,0.35010484,0.117802456
44,0.13706160355367647,0.5168947,0.33839026,0.10367704
45,0.1478499820127247,0.5870389,0.36629906,0.11899881
46,0.13997067113000963,0.44779494,0.3197931,0.10394541
47,0.14084722103785224,0.5410294,0.347115,0.10686101
48,0.14360696660226294,0.5299457,0.3457807,0.112072095
49,0.14194115343181588,0.41226685,0.31643417,0.1061481
