,mu,mape,smape,mae
0,0.0,0.6450827330350876,0.41345587,0.12777826078236104
1,0.1,0.6586928784847259,0.43462315,0.1302004300057888
2,0.2,0.6552932560443878,0.38139406,0.1293777149170637
3,0.3,0.6591840147972107,0.42920715,0.1303322434425354
4,0.4,0.6764614850282669,0.43972063,0.13372795544564725
5,0.5,0.6660938531160354,0.39417765,0.13222028389573098
6,0.6,0.6632257789373398,0.42529222,0.13029423952102662
7,0.7,0.6499360233545304,0.39671054,0.13030011095106603
8,0.8,0.6542331755161286,0.4274347,0.12853895165026188
9,0.9,0.6611449390649795,0.38528463,0.12880540303885937
