,nrmse,mape,smape,mae,nmae
0,0.00248612968040433,0.03236419226874361,0.0031463067050300723,0.0017103161767953359,0.0017159545817737804
1,0.0017952210067684305,0.007104698472341487,0.002997042066978697,0.0013462600292342994,0.0013462600292342994
2,0.001015006097830221,0.007378565123965605,0.0026126990769765475,0.0007651388471732141,0.0007679313247176428
3,0.00080188366188789,0.014695021170741474,0.002111228450621599,0.0010551192833045554,0.001057458793910552
4,0.0013044798730244814,0.005562898113921195,0.0024685464022939346,0.001300184784403461,0.001300184784403461
5,0.0005322218489099406,0.010300697534601585,0.002209482920324887,0.0004980168875626954,0.000498542776567514
6,0.0010901767469772236,0.01056322879810967,0.0029295240115445034,0.0010362532501883084,0.0010362532501883084
7,0.0012742110523577136,0.005554631689189009,0.002141065629377804,0.0011083899562058775,0.0011083899562058775
8,0.001149204511840833,0.011221942499467,0.002548955390581413,0.0009350512583331055,0.0009350512583331055
9,0.00110581196170106,0.003813758758250327,0.0023766243355740897,0.0009752468515992046,0.0009752468515992046
