,nrmse,mape,smape,mae,nmae
0,0.1710327522810416,0.527564163596787,0.3225864181156809,129.4711808786295,0.14181982862183587
1,0.19287609645148143,0.7948655975067483,0.40010934340903104,123.37700212770419,0.15634340411105732
2,0.19079115289179055,0.8356204123341809,0.4011013940729279,125.11029510097815,0.1524471444788446
3,0.17311170249890953,0.5325985388296016,0.323051399947307,129.1683452378923,0.14297825449971352
4,0.17400271953182267,0.5421308897528557,0.32627237850185237,131.3524653080535,0.1443634597551569
5,0.17828379512347953,0.922881857128032,0.41472416216636515,134.50325754842476,0.1425374363933381
6,0.1834405798209657,0.9736237129184314,0.4238656612643889,139.70558770186,0.14800930586905375
7,0.16635263972604292,0.5532377257166166,0.32820976590265993,128.07951667719746,0.13654877135398355
8,0.18513195997817705,0.9470687195582471,0.4227317935034923,131.42723148246122,0.14845615291269873
9,0.16018395625378498,0.5211637279539735,0.3214248753728959,129.53133650376603,0.13221582642448806
