,nrmse,mape,smape,mae
0,0.002145640900242212,0.08837132551307592,0.00462013628876516,0.0019060950246954996
1,0.004860136435037333,0.1509666889660696,0.004830961730251634,0.003525331355185182
2,0.00571816960658475,0.12956420895898127,0.005646413823572948,0.003805221685774267
3,0.0021929613862467496,0.10071098144320698,0.00462475550986841,0.0020289362915337666
4,0.0024077862240485305,0.05986355301427359,0.0050150352486200405,0.0021010710208281473
5,0.004603769143574511,0.1728690860960033,0.004864173871432452,0.00314723856465761
6,0.003987072291630367,0.13659903759772143,0.004632185004397246,0.0028726156595708647
7,0.002439028192911936,0.04766535130412232,0.005393672134181813,0.0021125120828995344
8,0.004591115587534367,0.10799788101349839,0.005334220177999542,0.00330518412637426
9,0.002850949612373324,0.06204328235627985,0.005856282742972834,0.0024306294534311075
