,nrmse,mape,smape,mae,nmae
0,0.17238983201549438,0.9851315604104522,0.37052274729204415,0.13712270444194294,0.1375747573137296
1,0.16709035698575728,0.521589675198504,0.3457272858573106,0.1312969994866086,0.1312969994866086
2,0.15970928030242965,0.5016526321533953,0.34140584231453663,0.1228317112236704,0.12328000214054513
3,0.16064106577162002,0.804192938535563,0.35310159923993056,0.1286072190529571,0.1288923791838949
4,0.17516442113154962,0.6164943144173192,0.37381749531667585,0.14365729187901194,0.14365729187901194
5,0.1363154722527585,0.657152479823208,0.32432973737790316,0.09958272312641558,0.09968787911704538
6,0.14722707499457519,0.607046594812019,0.33557673567687096,0.10852768701840185,0.10852768701840185
7,0.15841261041890398,0.6084525722967071,0.35706651454397426,0.12646410811752537,0.12646410811752537
8,0.14737034085162895,0.5171421389969805,0.34841343526468516,0.11171708949743742,0.11171708949743742
9,0.14966746580066473,0.6026725023157391,0.33789752184523353,0.11679324822874897,0.11679324822874897
