,nrmse,mape,smape,mae
0,0.1856771753650462,0.8178845663774041,0.3946088606685712,0.1431360936873652
1,0.173497729708644,0.4510836325786457,0.3352581419422309,0.12537196218666463
2,0.15256875150168842,0.39279136012614413,0.30593648571848436,0.10699354826933967
3,0.15914750954424414,0.6135125748668646,0.3279785437121463,0.11862894277756605
4,0.17831448963689195,0.5653488460158583,0.35060471964987744,0.1359567207067135
5,0.13856081994876387,0.5232295575363658,0.32715135113596366,0.09860324419036096
6,0.1445303484471882,0.46749816164542074,0.30106319772735546,0.10257416482572088
7,0.16457570930565163,0.5401997778698657,0.32059845156910594,0.11860049209621251
8,0.1368725970103336,0.40292884996638045,0.30731636787658817,0.09784884561213247
9,0.15222461100703252,0.5947351882817712,0.32952222433979983,0.1121753104204541
