,nrmse,mape,smape,mae,nmae
0,0.23098909078494273,1.3081750242725678,0.47456737788303804,0.19136601374453047,0.19199689071291898
1,0.18635696343478486,1.1136249886272687,0.42535432814091234,0.15113597403419327,0.15113597403419327
2,0.19462388418755294,0.6028964858714357,0.4032238967033317,0.1549610424004952,0.1555265936501321
3,0.2050839118506215,1.2279804820442255,0.38956516585346934,0.1536148110257894,0.15395542036287538
4,0.1943453343486502,0.6119003159249793,0.37550379190646754,0.15276441484419095,0.15276441484419095
5,0.15388044694784125,0.845801621167918,0.37876579886061823,0.12198054793115035,0.12210935526793085
6,0.16334450373981174,0.6187552538753508,0.37114177253365516,0.12700515194835904,0.12700515194835904
7,0.18064685927780016,0.6883299240554134,0.33635982709274914,0.12470478598409437,0.12470478598409437
8,0.15968138842154597,0.6587980131957292,0.3860901629194253,0.12688461901933343,0.12688461901933343
9,0.18939359054622576,0.6495862177497436,0.36446024128968,0.1367217485096924,0.1367217485096924
